user,movie,rating
/celdinner/,/film/nope/,"10,"
/celdinner/,/film/persuasion-2022/,"5,"
/celdinner/,/film/minions-the-rise-of-gru/,"8,"
/celdinner/,/film/thor-love-and-thunder/,"6,"
/celdinner/,/film/fire-island-2022/,"8,"
/celdinner/,/film/decision-to-leave/,"9,"
/celdinner/,/film/crimes-of-the-future-2022/,"7,"
/celdinner/,/film/aftersun/,"9,"
/celdinner/,/film/triangle-of-sadness/,"9,"
/celdinner/,/film/men-2022/,"4,"
/celdinner/,/film/chip-n-dale-rescue-rangers/,"8,"
/celdinner/,/film/conversations-with-friends/,"7,"
/celdinner/,/film/top-gun-maverick/,"9,"
/celdinner/,/film/doctor-strange-in-the-multiverse-of-madness/,"7,"
/celdinner/,/film/crush-2022/,"6,"
/celdinner/,/film/conversations-with-a-killer-the-john-wayne-gacy-tapes/,"6,"
/celdinner/,/film/jimmy-savile-a-british-horror-story-2022/,"6,"
/celdinner/,/film/moon-knight-2022/,"9,"
/celdinner/,/film/the-northman/,"9,"
/celdinner/,/film/olivia-rodrigo-driving-home-2-u-a-sour-film/,"7,"
/celdinner/,/film/morbius/,"3,"
/celdinner/,/film/bodies-bodies-bodies/,"8,"
/celdinner/,/film/x-2022/,"7,"
/celdinner/,/film/everything-everywhere-all-at-once/,"9,"
/celdinner/,/film/turning-red/,"8,"
/celdinner/,/film/the-batman/,"10,"
/celdinner/,/film/jeen-yuhs-a-kanye-trilogy/,"8,"
/celdinner/,/film/inventing-anna/,"6,"
/celdinner/,/film/kimi/,"6,"
/celdinner/,/film/death-on-the-nile-2022/,"7,"
/celdinner/,/film/jackass-forever/,"8,"
/celdinner/,/film/the-woman-in-the-house-across-the-street-from-the-girl-in-the-window/,"6,"
/celdinner/,/film/fire-of-love-2022/,"8,"
/celdinner/,/film/fresh-2022/,"7,"
/aeio/,/film/the-interview-2014/,",like"
/aeio/,/film/kingsman-the-secret-service/,",like"
/aeio/,/film/paddington/,",like"
/aeio/,/film/interstellar/,"10,like"
/celdinner/,/film/scream-2022/,"7,"
/celdinner/,/film/death-to-2021/,"4,"
/celdinner/,/film/station-eleven/,"8,"
/celdinner/,/film/south-park-post-covid-the-return-of-covid/,"8,"
/celdinner/,/film/the-matrix-resurrections/,"3,"
/celdinner/,/film/spider-man-no-way-home/,"8,"
/celdinner/,/film/dont-look-up-2021/,"7,"
/celdinner/,/film/nightmare-alley-2021/,"7,"
/celdinner/,/film/west-side-story-2021/,"7,"
/celdinner/,/film/licorice-pizza/,"10,"
/celdinner/,/film/south-park-post-covid/,"7,"
/celdinner/,/film/the-beatles-get-back/,"10,"
/aeio/,/film/big-hero-6/,",like"
/aeio/,/film/john-wick/,",like"
/aeio/,/film/nightcrawler/,"7,like"
/aeio/,/film/lucy-2014/,",like"
